id;end_date;rsp;start_date;value;product_id
72;NULL;13;2021-01-01;3;72
73;NULL;14;2021-01-01;4.7;73
74;NULL;12;2021-01-01;4.5;74
75;NULL;12;2021-01-01;3.15;75
76;NULL;13;2021-01-01;4.02;76
77;NULL;12;2021-01-01;4.96;77
78;NULL;11;2021-01-01;3.9;78
79;NULL;14;2021-01-01;4.6;79
80;NULL;15;2021-01-01;4.6;80
81;NULL;13;2021-01-01;4.2;81
82;NULL;12;2021-01-01;3.7;82
83;NULL;24;2021-01-01;9.5;83
84;NULL;17;2021-01-01;3.9;84
85;NULL;12;2021-01-01;2.9;85
86;NULL;12;2021-01-01;2.85;86
87;NULL;12;2021-01-01;2.65;87
88;NULL;14;2021-01-01;2.85;88
89;NULL;13;2021-01-01;3.85;89
90;NULL;14;2021-01-01;3.95;90
91;NULL;14;2021-01-01;3.85;91
92;NULL;14;2021-01-01;3.95;92
93;NULL;12;2021-01-01;3.8;93
94;NULL;13;2021-01-01;3.9;94
95;NULL;12;2021-01-01;3.9;95
96;NULL;1.5;2021-01-01;0.81;96
97;NULL;1.5;2021-01-01;0.81;97
98;NULL;1.5;2021-01-01;0.81;98
99;NULL;1.5;2021-01-01;0.45;99
100;NULL;1.5;2021-01-01;0.29;100
101;NULL;1.5;2021-01-01;0.5;101
102;NULL;6;2021-01-01;3.15;102
103;NULL;6;2021-01-01;3.15;103
104;NULL;6;2021-01-01;3.5;104
105;NULL;8;2021-01-01;4.32;105
106;NULL;8;2021-01-01;5.83;106
107;NULL;8;2021-01-01;4.08;107
108;NULL;8;2021-01-01;4.32;108
109;NULL;8;2021-01-01;4;109
110;NULL;5;2021-01-01;1.29;110
111;NULL;5;2021-01-01;1.29;111
112;NULL;5;2021-01-01;1.29;112
113;NULL;5;2021-01-01;1.29;113
114;NULL;5;2021-01-01;1.29;114
115;NULL;5;2021-01-01;1.29;115
116;NULL;5;2021-01-01;1.29;116
117;NULL;28;2021-01-01;16.26;117
118;NULL;28;2021-01-01;16.26;118
119;NULL;28;2021-01-01;16.26;119
120;NULL;28;2021-01-01;16.26;120
121;NULL;28;2021-01-01;16.26;121
122;NULL;28;2021-01-01;16.26;122
123;NULL;28;2021-01-01;16.26;123
124;NULL;7;2021-01-01;4.55;124
125;NULL;7;2021-01-01;4.55;125
126;NULL;6;2021-01-01;3.7;126
127;NULL;45;2021-01-01;8.5;127
128;NULL;45;2021-01-01;10.5;128
129;NULL;45;2021-01-01;9.5;129
130;NULL;45;2021-01-01;10.4;130
131;NULL;45;2021-01-01;9.2;131
132;NULL;4;2021-01-01;2.4;132
133;NULL;4;2021-01-01;2.4;133
134;NULL;4;2021-01-01;2.4;134
135;NULL;4;2021-01-01;2.4;135
136;NULL;4;2021-01-01;2.4;136
137;NULL;4;2021-01-01;2.4;137
138;NULL;6;2021-01-01;3.52;138
139;NULL;12.5;2021-01-01;7.55;139
140;NULL;12.5;2021-01-01;7.35;140
141;NULL;7.5;2021-01-01;4.52;141
142;NULL;7.5;2021-01-01;4.43;142
143;NULL;7.5;2021-01-01;4.5;143
144;NULL;12.5;2021-01-01;7.95;144
145;NULL;16;2021-01-01;9.7;145
146;NULL;23;2021-01-01;15.25;146
147;NULL;7;2021-01-01;4.95;147
148;NULL;7;2021-01-01;4.96;148
149;NULL;6;2021-01-01;3.95;149
150;NULL;6;2021-01-01;4.13;150
151;NULL;3.9;2021-01-01;2.65;151
152;NULL;30;2021-01-01;20;152
